Chapter	Verse	Unformatted Text (Pure Text Only)	Formatted Text (with Punctuations)	Metawords_Keywords
6	1	My son if you have put up security for your neighbor have given your pledge for a stranger	My son, if you have put up security for your neighbor, have given your pledge for a stranger,	son, security, pledge
6	2	if you are snared in the words of your mouth caught in the words of your mouth	if you are snared in the words of your mouth, caught in the words of your mouth,	snared, mouth
6	3	then do this my son and save yourself for you have come into the hand of your neighbor go hasten and plead urgently with your neighbor	then do this, my son, and save yourself, for you have come into the hand of your neighbor: go, hasten, and plead urgently with your neighbor.	son, neighbor, hasten
6	4	Give your eyes no sleep and your eyelids no slumber	Give your eyes no sleep and your eyelids no slumber;	eyes, slumber
6	5	save yourself like a gazelle from the hand of the hunter like a bird from the hand of the fowler	save yourself like a gazelle from the hand of the hunter, like a bird from the hand of the fowler.	gazelle, hunter, bird, fowler
6	6	Go to the ant O sluggard consider her ways and be wise	Go to the ant, O sluggard; consider her ways, and be wise.	sluggard, wise
6	7	Without having any chief officer or ruler	Without having any chief, officer, or ruler,	chief, officer, ruler
6	8	she prepares her bread in summer and gathers her food in harvest	she prepares her bread in summer and gathers her food in harvest.	bread, gathers, harvest
6	9	How long will you lie there O sluggard When will you arise from your sleep	How long will you lie there, O sluggard? When will you arise from your sleep?	lie, sluggard, sleep
6	10	A little sleep a little slumber a little folding of the hands to rest	A little sleep, a little slumber, a little folding of the hands to rest,	little, rest
6	11	and poverty will come upon you like a robber and want like an armed man	and poverty will come upon you like a robber, and want like an armed man.	poverty, robber, man
6	12	A worthless person a wicked man goes about with crooked speech	A worthless person, a wicked man, goes about with crooked speech,	worthless, wicked, speech, person
6	13	winks with his eyes signals with his feet points with his finger	winks with his eyes, signals with his feet, points with his finger,	signals, eyes, feet, finger
6	14	with perverted heart devises evil continually sowing discord	with perverted heart devises evil, continually sowing discord;	heart, evil, discord
6	15	therefore calamity will come upon him suddenly in a moment he will be broken beyond healing	therefore calamity will come upon him suddenly; in a moment he will be broken beyond healing.	broken, healing
6	16	There are six things that the Lord hates seven that are an abomination to him	There are six things that the Lord hates, seven that are an abomination to him:	lord, hates, abomination
6	17	haughty eyes a lying tongue and hands that shed innocent blood	haughty eyes, a lying tongue, and hands that shed innocent blood,	eyes, tongue, hands, blood
6	18	a heart that devises wicked plans feet that make haste to run to evil	a heart that devises wicked plans, feet that make haste to run to evil,	heart, plans, evil
6	19	a false witness who breathes out lies and one who sows discord among brothers	a false witness who breathes out lies, and one who sows discord among brothers.	lies, brothers, witness
6	20	My son keep your fathers commandment and forsake not your mothers teaching	My son, keep your father’s commandment, and forsake not your mother’s teaching.	son, father's, mother's, commandment, teaching
6	21	Bind them on your heart always tie them around your neck	Bind them on your heart always; tie them around your neck.	heart, tie, neck
6	22	When you walk they will lead you when you lie down they will watch over you and when you awake they will talk with you	When you walk, they will lead you; when you lie down, they will watch over you; and when you awake, they will talk with you.	walk, lead, watch, awake, talk
6	23	For the commandment is a lamp and the teaching a light and the reproofs of discipline are the way of life	For the commandment is a lamp and the teaching a light, and the reproofs of discipline are the way of life,	commandment, teaching, light, discipline, life
6	24	to preserve you from the evil woman from the smooth tongue of the adulteress	to preserve you from the evil woman, from the smooth tongue of the adulteress.	evil, woman, tongue, adulteress
6	25	Do not desire her beauty in your heart and do not let her capture you with her eyelashes	Do not desire her beauty in your heart, and do not let her capture you with her eyelashes;	desire, beauty, heart, capture
6	26	for the price of a prostitute is only a loaf of bread but a married woman hunts down a precious life	for the price of a prostitute is only a loaf of bread, but a married woman hunts down a precious life.	prostitute, price, bread, married, hunts, life
6	27	Can a man carry fire next to his chest and his clothes not be burned	Can a man carry fire next to his chest and his clothes not be burned?	man, fire, chest, clothes
6	28	Or can one walk on hot coals and his feet not be scorched	Or can one walk on hot coals and his feet not be scorched?	walk, feet, scorched
6	29	So is he who goes in to his neighbors wife none who touches her will go unpunished	So is he who goes in to his neighbor’s wife; none who touches her will go unpunished.	neighbor’s, wife, unpunished
6	30	People do not despise a thief if he steals to satisfy his appetite when he is hungry	People do not despise a thief if he steals to satisfy his appetite when he is hungry,	thief, steals, hungry
6	31	but if he is caught he will pay sevenfold he will give all the goods of his house	but if he is caught, he will pay sevenfold; he will give all the goods of his house.	pay, sevenfold, goods, house
6	32	but if he is caught he will pay sevenfold he will give all the goods of his house	but if he is caught, he will pay sevenfold; he will give all the goods of his house.	commits, adultery, himself
6	33	He will get wounds and dishonor and his disgrace will not be wiped away	He will get wounds and dishonor, and his disgrace will not be wiped away.	wounds, dishonor, disgrace
6	34	For jealousy makes a man furious and he will not spare when he takes revenge	For jealousy makes a man furious, and he will not spare when he takes revenge.	jealousy, man, furious, revenge
6	35	He will accept no compensation he will refuse though you multiply gifts	He will accept no compensation; he will refuse though you multiply gifts.	compensation, gifts
7	1	My son keep my words and treasure up my commandments with you	My son, keep my words and treasure up my commandments with you.	son, keep, commandments
7	2	Keep my commandments and live keep my teaching as the apple of your eye	Keep my commandments and live; keep my teaching as the apple of your eye.	live, teaching, eye
7	3	Bind them on your fingers write them on the tablet of your heart	Bind them on your fingers; write them on the tablet of your heart.	bind, write, heart
7	4	Say to wisdom You are my sister and call insight your intimate friend	Say to wisdom, 'You are my sister,' and call insight your intimate friend.	wisdom, sister, insight
7	5	To keep you from the forbidden woman from the adulteress with her smooth words	To keep you from the forbidden woman, from the adulteress with her smooth words.	forbidden, adulteress, words
7	6	For at the window of my house I have looked out through my lattice	For at the window of my house I have looked out through my lattice.	window, lattice, house
7	7	And I have seen among the simple I have perceived among the youths a young man lacking sense	And I have seen among the simple, I have perceived among the youths, a young man lacking sense.	simple, youths, sense
7	8	Passing along the street near her corner taking the road to her house	Passing along the street near her corner, taking the road to her house.	street, corner, house
7	9	In the twilight in the evening at the time of night and darkness	In the twilight, in the evening, at the time of night and darkness.	twilight, evening, darkness
7	10	And behold the woman meets him dressed as a prostitute wily of heart	And behold, the woman meets him, dressed as a prostitute, wily of heart.	woman, prostitute, heart
7	11	She is loud and wayward her feet do not stay at home	She is loud and wayward; her feet do not stay at home	loud, wayward, home
7	12	Now in the street now in the market and at every corner she lies in wait	Now in the street, now in the market, and at every corner she lies in wait.	street, market, corner
7	13	She seizes him and kisses him and with bold face she says to him	She seizes him and kisses him, and with bold face she says to him,	seizes, kisses, bold
